nombre,coste_limpieza
Alameda Butterfly,85
Alamos 40,60
Alcazaba,80
Amazonia Center Apartment,70
Art&Light,140
Atarazanas Executive,65
Atico Cervantes,60
Balcon de Neri,80
Blue Bay Apartment,65
Blue Bay Penthouse,65
Calderon 2100,80
Calderon 2101,65
Calderon 2200,80
Calderon 2201,65
Calderon 2300,80
Calderon 2301,65
Calderon 2400,80
Calderon 2401,65
Carcer Apartment,60
Carreteria 101,60
Carreteria 102,60
Carreteria 103,60
Carreteria 201,60
Carreteria 202,60
Carreteria 203,60
Carreteria 301,60
Carreteria 302,60
Carreteria 303,60
Carreteria 401,60
Carreteria 402,60
Cathedral Boutique,60
Central Haven,60
Chillout Garden Deluxe,100
City Views Terrace,70
El Escondite Triplex,90
Enjoy Apartment,70
Evergreen Center Apartment,80
Golden Suite,60
Green Harmony Center,60
Guevara Apartment,70
High Street 20,80
Infinity Views Penthouse,120
Juan de Austria 1A,80
Juan de Austria 1B,80
Juan de Austria 2A,80
Juan de Austria 2B,80
Juan de Austria 3A,80
Juan de Austria 3B,80
La Dolce Vita,70
La Galerie Apartment,100
Le Coquet Center Apartment,60
Malaga Centre Premium,80
Malaga Serenity,60
Mariblanca 1A Balcon Exterior,50
Mariblanca 1B Balcon Exterior,50
Mariblanca 1C Superior,50
Mariblanca 1D Superior,50
Mariblanca 2A Balcon Exterior,50
Mariblanca 2B Balcon Exterior,50
Mariblanca 2C Duplex,50
Mariblanca 2D Duplex,50
Mariblanca Bajo A,50
Mariblanca Bajo B,50
Marin Central View,120
Marin Sky,60
Mariscal Centre Apartment,80
Mediterranean Dream Penthouse,100
Mi Carmela Beach,80
Miramar Luxe Beach,120
Molina Lario,60
Muelle Uno 10A estudio,50
Muelle Uno 2A estudio,50
Muelle Uno 2F apartamento,60
Muelle Uno 3A estudio,50
Muelle Uno 5A estudio,50
Muelle Uno 5F apartamento,60
Nereo Apartment,80
Nereo Studio 1A,60
Nereo Studio 1B,60
New Marina Square,60
Ocean Glow,120
Ollerias Centre Apartment,120
Pacific Terrace Apartment,100
Pedregalejo Loft,70
Plaza de las Cofradias,80
Prime Luxe 1B 2 Bedrooms,80
Prime Luxe 1D Studio,60
Prime Luxe Balcony 1A,60
Prime Luxe Balcony 3A,60
Rustic Chic,60
Sea Breeze,120
Seaside Duplex 1,75
Seaside Duplex 2 Terrace,75
Seaside apartment 3,50
Seaside apartment 4,50
Shining Beetle,100
Sky Garden Duplex,140
Skyline 2,60
Skyline 3,60
Skyline Triplex,90
Soho Orangerie Deluxe,90
Soho Vibes,100
Spring Boutique Apartment,60
Studio Boheme Malaga,60
Suite San Francisco,60
Sun&Terrace Penthouse,140
Terraza Andaluza,60
The Dowtown Apartment,100
The Eagle Wings,80
The Secret Studio,60
Tower Horizon,60
Uncibay Selvatique Apartment,100
Union Central,80
Urban Chic 1,60
Urban Chic 3A,60
Urban Chic 3B,100
Urban Chic Apartment (2B),100
Victoria Center Apartment,80
Woodland Oasis Center,60
